title,company_name,need_level,need_grade,region,employ_type,rank,pay,section
효성ITX㈜,[효성ITX] 웹 퍼블러셔 및 프론트엔드 개발(경력),경력3년↑,대졸↑,영등포구,정규직,,,DE
㈜뉴로라인즈,웹 서비스 JAVA 개발자(경력) 모집,경력5년↑,학력무관,마포구,정규직,과장~차장급,,DE
㈜엠폴,(주)엠폴 R&D 연구소장 채용합니다.,경력5년↑,학력무관,강서구,정규직,,,DE
디딤365㈜,SI 프로젝트 PM 채용,경력10년↑,대졸↑,구로구,정규직,,,DE
원프레딕트,Data Platform Engineer(전문연구요원),경력무관,석사↑,강남구,정규직,,,DE
탑클릭,[경기/부천] 웹기획 정규직 채용,경력3년↑,대졸↑,강서구,정규직,이상,"4,000만원",DE
㈜트릿지,[TRIDGE] Lead of PM (PM 총괄),경력8년↑,학력무관,서초구,정규직,,,DE
㈜동인코퍼레이션,BI/OLAP 엔지니어 채용,경력2년↑,초대졸↑,송파구,정규직,팀원,,DE
㈜기어세컨드,데이터 분석가 채용,경력무관,학력무관,마포구,정규직,사원급,"4,000~8,000만원",DE
㈜두들린,[그리팅] Data Engineer - 3년 이상,경력3년↑,학력무관,강남구,정규직,,,DE
㈜미리디,[미리디] 데이터 엔지니어,경력2년↑,학력무관,구로구,정규직,,,DE
에이스올루션글로벌㈜,안드로이드 테스트 엔지니어 모집,경력2년↑,학력무관,성동구,계약직,,520~800만원(월),DE
바이온사이트,Senior Platform-Infra Engineer 채용,경력5년↑,석사↑,성동구,정규직,,"4,000~12,000만원",DE
㈜크라우드웍스,[크라우드웍스] 병특/전문연구요원 전형) 서비스개발실 AI-Software engine,경력무관,석사↑,강남구,병역특례,,,DE
데이터마케팅코리아,(주)데이터마케팅코리아 데이터 엔지니어링 직무 채용,경력3년↑,초대졸↑,강남구,정규직,주임~대리급,,DE
필라넷,(주)필라넷 Microsoft Engineer 채용,경력무관,학력무관,강남구,정규직,이상,"2,500만원",DE
㈜잘레시아,"DW 개발자 - Microsoft Fabric, Azure 기반 DW",경력5년↑,대졸↑,서초구,정규직,과장~차장급,"4,500~6,000만원",DE
㈜한국정보기술단,데이터표준품질부문 경력채용 (정규직),경력3년↑,대졸↑,서초구,정규직,,,DE
㈜커넥트웨이브,[커넥트웨이브] 메이크샵 데이터 엔지니어 채용(경력),경력3년↑,학력무관,금천구,정규직,,,DE
넛지헬스케어㈜,[캐시워크] 데이터분석가 - 석사/박사,경력무관,석사↑,강남구,정규직,,,DE
데이터마케팅코리아,(주)데이터마케팅코리아 데이터컨설팅(경력) 직무 채용,경력3년↑,대졸↑,강남구,정규직,팀원,,DE
㈜스카이오토넷,(주)스카이오토넷 - 영상처리 개발자 (병역특례가능),신입·경력1년↑,대졸↑,서초구,정규직,,,DE
디딤365㈜,클라우드 구축 및 운영 엔지니어 인재 채용,경력2년↑,초대졸↑,구로구,정규직,사원급,,DE
디딤365㈜,금융권 프로젝트 or 솔루션 분석/설계/관리,경력1년↑,대졸↑,구로구,정규직,,,DE
㈜타키온테크,"[타키온테크] 개발팀 인재 환영 (Delphi, MES, S/W 등)",경력2년↑,학력무관,금천구,정규직,,,DE
㈜비와이아이엔씨(BY inc.),"여의도 DBMS Oracle,SQL상주유지보수 금융기관 초/중급기술자모십니다.",경력5년↑,초대졸↑,영등포구,정규직,주임~대리급,,DE
